Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,tariff (product.metafields.custom.tariff),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
apple-watch-band-8,,,,,,,,,Lether Link,,,,,,,,"",0.0,shopify,deny,manual,90.00,0.00,true,true,"",https://cdn.shopify.com/s/files/1/0559/0482/9504/products/1676445142307.jpg?v=1677938627,2,"",,,,,,,,,,,,,,,,,,,kg,,5.00,
apple-watch-band-8,,,,,,,,,Test,,,,,,,,"",0.0,shopify,deny,manual,70.00,0.00,true,true,"",https://cdn.shopify.com/s/files/1/0559/0482/9504/products/Marble_Black_01_8004cb85-74f3-48f1-b396-883d511623b5.jpg?v=1681798758,3,"",,,,,,,,,,,,,,,,,,,kg,,5.50,
apple-watch-band-8,,,,,,,,,123,,,,,,,,"",0.0,shopify,deny,manual,70.00,0.00,true,true,"",,,,,,,,,,,,,,,,,,,,,,kg,,5.50,
macbook-hub-1,Macbook Hub,"",jeffrey-dev-test,Uncategorized,"","abconvert-price-test, dup_7110377472064, price-test-20065",false,Title,Default Title,,,,,,,,"",0.0,shopify,continue,manual,22.90,0.00,true,true,"",https://cdn.shopify.com/s/files/1/0559/0482/9504/products/SwitchDrive_gray_07.jpg?v=1676348071,1,"",false,,,,,,,,,,,,,,,,,,kg,,5.00,draft
macbook-hub-copy-1,Macbook Hub,"",jeffrey-dev-test,Uncategorized,"",test,true,Title,Default Title,,,,,,,,,0.0,shopify,continue,manual,10.90,0.00,true,true,,https://cdn.shopify.com/s/files/1/0559/0482/9504/products/SwitchDrive_gray_07.jpg?v=1676348071,1,"",false,,,,,,,,,,,,,,,,,,kg,,5.00,active
macbook-hub-copy-1,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/0482/9504/files/36697cd395bb478e85b1f4219fedc6b0.png?v=1720144541,2,"",,,,,,,,,,,,,,,,,,,,,,
macbook-hub-copy,Macbook Hub,"",jeffrey-dev-test,Uncategorized,"",test,true,Title,Default Title,,,,,,,,,0.0,shopify,continue,manual,10.90,0.00,true,true,,https://cdn.shopify.com/s/files/1/0559/0482/9504/products/SwitchDrive_gray_07.jpg?v=1676348071,1,"",false,,,,,,,,,,,,,,,,,,kg,,5.00,active
macbook-hub-copy,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/0482/9504/files/36697cd395bb478e85b1f4219fedc6b0.png?v=1720144541,2,"",,,,,,,,,,,,,,,,,,,,,,
test-2,Test,,Jeffrey Shop,Arts & Entertainment > Party & Celebration > Party Supplies > Party Games,"","",false,Color,Blue,,,,,,,,"",0.0,,deny,manual,0.00,,true,true,,,,,false,,,7160,,,,,,,,,,,,,,,lb,,,draft
test-combined-listing,Test combined listing,"",Jeffrey Shop,Arts & Entertainment > Party & Celebration > Party Supplies > Party Games,"","",true,Size,X,,,,,,,,"",0.0,shopify,deny,manual,0.00,,true,true,"",,,,false,,,7160,,,,,,,,,,,,,,,lb,,,active
test-combined-listing,,,,,,,,,XL,,,,,,,,"",0.0,shopify,deny,manual,0.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,,lb,,,
apple-watch-band-7,Apple Watch Band,"",jeffrey-dev-test,,"","abconvert-price-test, dup_7056723542080, price-test, price-test-16073",false,Title,Metal Mesh,,,,,,,,'1233,0.0,shopify,deny,manual,69.00,0.00,true,true,"",https://cdn.shopify.com/s/files/1/0559/0482/9504/products/6654464491584-1672993090198_a8daa264-f57a-41ec-b4a8-dea21513acd2.jpg?v=1677938627,1,"",false,,,,,,,,,,,,,,,,,,kg,,5.00,draft
apple-watch-band-7,,,,,,,,,Lether Link,,,,,,,,"",0.0,shopify,deny,manual,89.00,0.00,true,true,"",https://cdn.shopify.com/s/files/1/0559/0482/9504/products/1676445142307.jpg?v=1677938627,2,"",,,,,,,,,,,,,,,,,,,kg,,5.00,
apple-watch-band-7,,,,,,,,,Test,,,,,,,,"",0.0,shopify,deny,manual,69.00,0.00,true,true,"",https://cdn.shopify.com/s/files/1/0559/0482/9504/products/Marble_Black_01_8004cb85-74f3-48f1-b396-883d511623b5.jpg?v=1681798758,3,"",,,,,,,,,,,,,,,,,,,kg,,5.50,
apple-watch-band-7,,,,,,,,,123,,,,,,,,"",0.0,shopify,deny,manual,69.00,0.00,true,true,"",,,,,,,,,,,,,,,,,,,,,,kg,,5.50,
apple-watch-band-6,Apple Watch Band,"",jeffrey-dev-test,,"","abconvert-price-test, dup_7056723247168, price-test, price-test-16072",false,Title,Metal Mesh,,,,,,,,'1233,0.0,shopify,deny,manual,69.00,0.00,true,true,"",https://cdn.shopify.com/s/files/1/0559/0482/9504/products/6654464491584-1672993090198_a8daa264-f57a-41ec-b4a8-dea21513acd2.jpg?v=1677938627,1,"",false,,,,,,,,,,,,,,,,,,kg,,5.00,draft
apple-watch-band-6,,,,,,,,,Lether Link,,,,,,,,"",0.0,shopify,deny,manual,89.00,0.00,true,true,"",https://cdn.shopify.com/s/files/1/0559/0482/9504/products/1676445142307.jpg?v=1677938627,2,"",,,,,,,,,,,,,,,,,,,kg,,5.00,
apple-watch-band-6,,,,,,,,,Test,,,,,,,,"",0.0,shopify,deny,manual,69.00,0.00,true,true,"",https://cdn.shopify.com/s/files/1/0559/0482/9504/products/Marble_Black_01_8004cb85-74f3-48f1-b396-883d511623b5.jpg?v=1681798758,3,"",,,,,,,,,,,,,,,,,,,kg,,5.50,
apple-watch-band-6,,,,,,,,,123,,,,,,,,"",0.0,shopify,deny,manual,69.00,0.00,true,true,"",,,,,,,,,,,,,,,,,,,,,,kg,,5.50,
market-price-product,Market price product,"",Jeffrey Shop,Services,test,"",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,15.00,25.00,true,true,"",,,,false,,,,,,,,,,,,,,,,,,lb,,,active
skio-subscription,Skio subscription,"",Jeffrey Shop,Uncategorized,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,0.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,,lb,,,active
recharge-subscription,Recharge subscription,"",Jeffrey Shop,Uncategorized,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,50.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,,lb,,,active
loop-subscription-product,Loop subscription product,"",Jeffrey Shop,Uncategorized,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,50.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,,lb,,,active
fixed-price-test,Fixed price test,"",Jeffrey Shop,Uncategorized,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,90.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,,lb,,,active
template-b,TEMPLATE B,"",Jeffrey Shop,Uncategorized,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,0.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,,lb,,,active
template-a,TEMPLATE A,"",Jeffrey Shop,Uncategorized,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,0.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,,lb,,,active
apple-watch-band-copy,Apple Watch Band (Copy),"",jeffrey-dev-test,Uncategorized,"",price-test,true,Title,Metal Mesh,,,,,,,,'1233,0.0,shopify,deny,manual,59.00,79.00,true,true,,https://cdn.shopify.com/s/files/1/0559/0482/9504/products/Marble_Black_01_8004cb85-74f3-48f1-b396-883d511623b5.jpg?v=1681798758,1,"",false,,,,,,,,,,,,,,,,,,kg,,5.00,active
apple-watch-band-copy,,,,,,,,,Lether Link,,,,,,,,"",0.0,shopify,deny,manual,79.00,99.00,true,true,,https://cdn.shopify.com/s/files/1/0559/0482/9504/products/1676445142307.jpg?v=1677938627,2,"",,,,,,,,,,,,,,,,,,,kg,,5.00,
apple-watch-band-copy,,,,,,,,,Test,,,,,,,,"",0.0,shopify,deny,manual,59.00,79.00,true,true,,https://cdn.shopify.com/s/files/1/0559/0482/9504/products/6654464491584-1672993090198_a8daa264-f57a-41ec-b4a8-dea21513acd2.jpg?v=1677938627,3,"",,,,,,,,,,,,,,,,,,,kg,,5.50,
apple-watch-band-copy,,,,,,,,,123,,,,,,,,"",0.0,shopify,deny,manual,59.00,79.00,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,5.50,
apple-watch-band-copy,,,,,,,,,Metal Mesh*,,,,,,,,'1233,0.0,shopify,deny,manual,60.00,79.00,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,5.00,
apple-watch-band-copy,,,,,,,,,Lether Link*,,,,,,,,ABCONVERT,0.0,shopify,deny,manual,80.00,99.00,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,5.00,
apple-watch-band-copy,,,,,,,,,Test*,,,,,,,,ABCONVERT,0.0,shopify,deny,manual,60.00,79.00,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,5.50,
apple-watch-band-copy,,,,,,,,,123*,,,,,,,,ABCONVERT,0.0,shopify,deny,manual,60.00,79.00,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,5.50,
test-color-swatch,Test color swatch,"",Jeffrey Shop,"Arts & Entertainment > Hobbies & Creative Arts > Arts & Crafts > Art & Crafting Materials > Craft Paint, Ink & Glaze","","",true,Color,Black,,,,,,,,"",0.0,shopify,deny,manual,0.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,,lb,,,active
test-color-swatch,,,,,,,,,White,,,,,,,,"",0.0,shopify,deny,manual,0.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,,lb,,,
test-color-swatch,,,,,,,,,Pink,,,,,,,,"",0.0,shopify,deny,manual,0.00,,true,true,"",,,,,,,,,,,,,,,,,,,,,,lb,,,
apple-watch-band-5,Apple Watch Band,"",jeffrey-dev-test,,"","abconvert-content-test, content-test-9865, dup_6654464491584",false,Title,Metal Mesh,,,,,,,,'1233,0.0,shopify,deny,manual,59.00,79.00,true,true,"",https://cdn.shopify.com/s/files/1/0559/0482/9504/files/6654464491584-1672993090198_50de6aff-1c3d-4943-9ab9-1e2cdee9111e.jpg?v=1721706377,1,"",false,,,,,,,,,,,,,,,,,,kg,,5.00,draft
apple-watch-band-5,,,,,,,,,Lether Link,,,,,,,,"",0.0,shopify,deny,manual,79.00,99.00,true,true,"",https://cdn.shopify.com/s/files/1/0559/0482/9504/files/1676445142307_ded56057-5b1e-4d8c-a1a1-531abc019557.jpg?v=1721706377,2,"",,,,,,,,,,,,,,,,,,,kg,,5.00,
apple-watch-band-5,,,,,,,,,Test,,,,,,,,"",0.0,shopify,deny,manual,59.00,79.00,true,true,"",https://cdn.shopify.com/s/files/1/0559/0482/9504/files/Marble_Black_01_0f8d16f6-b3ab-4fed-913f-cf8f5e395cd4.jpg?v=1721706377,3,"",,,,,,,,,,,,,,,,,,,kg,,5.50,
apple-watch-band-5,,,,,,,,,123,,,,,,,,"",0.0,shopify,deny,manual,59.00,79.00,true,true,"",,,,,,,,,,,,,,,,,,,,,,kg,,5.50,
rise-ai-giftcard,Gift card,Shopping for someone else but not sure what to give them? Give the gift of choice with a gift card.<br> Gift cards are delivered by email and contain checkout redemption instructions. Our gift cards have no additional processing fees.<br>,Rise.ai,,"","",true,Title,$50,,,,,,,,"",0.0,,deny,manual,50.00,,false,false,,https://cdn.shopify.com/s/files/1/0559/0482/9504/files/36697cd395bb478e85b1f4219fedc6b0.png?v=1720144541,1,"",false,,,,,,,,,,,,,,,,,,lb,,,active
rise-ai-giftcard,,,,,,,,,$100,,,,,,,,"",0.0,,deny,manual,100.00,,false,false,,,,,,,,,,,,,,,,,,,,,,,lb,,,
gift-card-1,Gift Card,"<meta content=""0; URL='/a/gc/gift-card/'"" http-equiv=""refresh"">
<script>window.location.href=""/a/gc/gift-card/"";</script>
",Jeffrey Shop,,GIST_GIFT_CARD,gift-card-product,true,Amount,10.00,,,,,,,,"",0.0,shopify,continue,manual,10.00,,false,false,,https://cdn.shopify.com/s/files/1/0559/0482/9504/files/gift-card.jpg?v=1715048575,1,"",false,,,,,,,,,,,,,,,,,,lb,,,active
gift-card-1,,,,,,,,,20.00,,,,,,,,"",0.0,shopify,continue,manual,20.00,,false,false,,,,,,,,,,,,,,,,,,,,,,,lb,,,
gift-card-1,,,,,,,,,50.00,,,,,,,,"",0.0,shopify,continue,manual,50.00,,false,false,,,,,,,,,,,,,,,,,,,,,,,lb,,,
gift-card-1,,,,,,,,,100.00,,,,,,,,"",0.0,shopify,continue,manual,100.00,,false,false,,,,,,,,,,,,,,,,,,,,,,,lb,,,
gift-card-1,,,,,,,,,150.00,,,,,,,,"",0.0,shopify,continue,manual,150.00,,false,false,,,,,,,,,,,,,,,,,,,,,,,lb,,,
gift-card-1,,,,,,,,,200.00,,,,,,,,"",0.0,shopify,continue,manual,200.00,,false,false,,,,,,,,,,,,,,,,,,,,,,,lb,,,
apple-watch-band-4,Apple Watch Band,"",jeffrey-dev-test,,"","abconvert-price-test, dup_6957374406720, price-test-6583",false,Title,Metal Mesh,,,,,,,,'1233,0.0,shopify,deny,manual,60.00,80.00,true,true,"",https://cdn.shopify.com/s/files/1/0559/0482/9504/files/6654464491584-1672993090198_f917035e-d583-4636-94c3-ec45714ef0f9.jpg?v=1714413413,1,"",false,,,,,,,,,,,,,,,,,,kg,,5.00,draft
apple-watch-band-4,,,,,,,,,Lether Link,,,,,,,,"",0.0,shopify,deny,manual,80.00,100.00,true,true,"",https://cdn.shopify.com/s/files/1/0559/0482/9504/files/1676445142307_5d478559-c6f6-4771-b51a-3a57eda9e7b5.jpg?v=1714413413,2,"",,,,,,,,,,,,,,,,,,,kg,,5.00,
apple-watch-band-4,,,,,,,,,Test,,,,,,,,"",0.0,shopify,deny,manual,60.00,80.00,true,true,"",https://cdn.shopify.com/s/files/1/0559/0482/9504/files/Marble_Black_01_daad5c9b-74e7-4d33-9271-db4862ef42b1.jpg?v=1714413413,3,"",,,,,,,,,,,,,,,,,,,kg,,5.50,
apple-watch-band-4,,,,,,,,,123,,,,,,,,"",0.0,shopify,deny,manual,60.00,80.00,true,true,"",,,,,,,,,,,,,,,,,,,,,,kg,,5.50,
apple-watch-band-2,Apple Watch Band,"",jeffrey-dev-test,,"","abconvert-price-test, dup_6957334954048, price-test-6581",false,Title,Metal Mesh,,,,,,,,'1233,0.0,shopify,deny,manual,60.00,79.00,true,true,"",https://cdn.shopify.com/s/files/1/0559/0482/9504/files/6654464491584-1672993090198_a8daa264-f57a-41ec-b4a8-dea21513acd2.jpg?v=1714411845,1,"",false,,,,,,,,,,,,,,,,,,kg,,5.00,draft
apple-watch-band-2,,,,,,,,,Lether Link,,,,,,,,"",0.0,shopify,deny,manual,80.00,99.00,true,true,"",https://cdn.shopify.com/s/files/1/0559/0482/9504/files/1676445142307.jpg?v=1714411845,2,"",,,,,,,,,,,,,,,,,,,kg,,5.00,
apple-watch-band-2,,,,,,,,,Test,,,,,,,,"",0.0,shopify,deny,manual,60.00,79.00,true,true,"",https://cdn.shopify.com/s/files/1/0559/0482/9504/files/Marble_Black_01_8004cb85-74f3-48f1-b396-883d511623b5.jpg?v=1714411845,3,"",,,,,,,,,,,,,,,,,,,kg,,5.50,
apple-watch-band-2,,,,,,,,,123,,,,,,,,"",0.0,shopify,deny,manual,60.00,79.00,true,true,"",,,,,,,,,,,,,,,,,,,,,,kg,,5.50,
test-currency,test currency,"",Jeffrey Shop,,"","",true,Title,Default Title,,,,,,,,"",0.0,shopify,deny,manual,199324.00,,true,true,"",,,,false,,,,,,,,,,,,,,,,,,lb,,,active
apple-watch-band-3,Apple Watch Band,"",jeffrey-dev-test,,"","",true,Title,Metal Mesh,,,,,,,,,0.0,shopify,deny,manual,59.00,79.00,true,true,,https://cdn.shopify.com/s/files/1/0559/0482/9504/files/iPad_11__10.9__02.png?v=1713273005,1,"",false,,,,,,,,,,,,,,,,,,kg,,5.00,active
apple-watch-band-3,,,,,,,,,Lether Link,,,,,,,,,0.0,shopify,deny,manual,79.00,99.00,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,5.00,
apple-watch-band-3,,,,,,,,,Test,,,,,,,,,0.0,shopify,deny,manual,59.00,79.00,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,5.50,
apple-watch-band-3,,,,,,,,,123,,,,,,,,,0.0,shopify,deny,manual,59.00,79.00,true,true,,,,,,,,,,,,,,,,,,,,,,,kg,,5.50,
abconvert-3,ABConvert,"<div style=""text-align: left;""><img style=""float: none;"" alt="""" src=""https://cdn.shopify.com/s/files/1/0559/0482/9504/files/Test_0.png?v=1683701783""></div>
<p> </p>
<p> </p>",jeffrey-dev-test,,test,"abconvert, abconvert-content-test, content-test-5435, dup_6689439875136, dup_6708149387328",false,Color,QQQQ Plastic black,,Belt Length,45to47inch,,Size,small,,51831964-qqqq-plastic-black-45to47inch,10000.0,shopify,deny,dropshipman,238.90,266.00,true,true,'123443,https://cdn.shopify.com/s/files/1/0559/0482/9504/products/Hb3d0b804b5a94459b96fea6a8edf892fT_bd6928d0-bf31-4250-b836-e03980479ad8.jpg?v=1710923729,1,"",false,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/0482/9504/products/H3624bbd935774c21ad2fa5bc37e873b9j_f06c7520-95d0-4247-87b0-250d78087199.jpg?v=1710923729,kg,,119.45,draft
abconvert-3,,,,,,,,,QQQQ Plastic black,,,45to47inch,,,big,,'123,10000.0,shopify,deny,dropshipman,238.90,266.00,true,true,"",https://cdn.shopify.com/s/files/1/0559/0482/9504/products/H82f533f713c94149b4b52590b1a89dceK_cf24cd02-c880-4672-a675-464c80957160.jpg?v=1710923729,2,"",,,,,,,,,,,,,,,,,,,kg,,119.45,
abconvert-3,,,,,,,,,QQQQ Plastic green,,,45to47inch,,,small,,51831964-qqqq-plastic-green-45to47inch,0.0,shopify,deny,dropshipman,238.90,,true,true,,https://cdn.shopify.com/s/files/1/0559/0482/9504/products/H6c9271be01044534b4f53c58df44d487O_f73f4817-6db8-4504-915d-3fbef35eedb1.jpg?v=1710923729,3,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/0482/9504/products/He5a056c675644c2c956565c9f2cb1ec3m_41ae4cfd-e409-4c60-9096-8ee7942de5d1.jpg?v=1710923729,kg,,119.45,
abconvert-3,,,,,,,,,QQQQ Plastic green,,,45to47inch,,,big,,'123,10000.0,shopify,deny,dropshipman,238.90,266.00,true,true,"",https://cdn.shopify.com/s/files/1/0559/0482/9504/products/H64bf32a9773b4b4c90e3e9d0c845de848_5fe1d398-ed48-4ae6-8b83-4b9d08a2a833.jpg?v=1710923729,4,"",,,,,,,,,,,,,,,,,,,kg,,119.45,
abconvert-3,,,,,,,,,QQQQ Plastic Khaki,,,45to47inch,,,small,,51831964-qqqq-plastic-khaki-45to47inch,0.0,shopify,deny,dropshipman,238.90,,true,true,,https://cdn.shopify.com/s/files/1/0559/0482/9504/products/H3624bbd935774c21ad2fa5bc37e873b9j_f06c7520-95d0-4247-87b0-250d78087199.jpg?v=1710923729,5,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/0482/9504/products/Hc79bcc67eed84434a96cd50e402fd9efM_802d9079-30c0-46ae-b284-b15cdf9c72ce.jpg?v=1710923729,kg,,119.45,
abconvert-3,,,,,,,,,QQQQ Plastic Khaki,,,45to47inch,,,big,,'123,10000.0,shopify,deny,dropshipman,238.90,266.00,true,true,"",https://cdn.shopify.com/s/files/1/0559/0482/9504/products/He5a056c675644c2c956565c9f2cb1ec3m_41ae4cfd-e409-4c60-9096-8ee7942de5d1.jpg?v=1710923729,6,"",,,,,,,,,,,,,,,,,,,kg,,119.45,
abconvert-3,,,,,,,,,LG black,,,45to47inch,,,small,,51831964-lg-black-45to47inch,0.0,shopify,deny,dropshipman,238.90,,true,true,,https://cdn.shopify.com/s/files/1/0559/0482/9504/products/Hc79bcc67eed84434a96cd50e402fd9efM_802d9079-30c0-46ae-b284-b15cdf9c72ce.jpg?v=1710923729,7,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/0482/9504/products/H572d1b0f3b87473f8cefba2cf5cc0496N_501f5dfc-8c14-44a4-b71d-f66484b1f0a3.jpg?v=1710923729,kg,,119.45,
abconvert-3,,,,,,,,,LG black,,,45to47inch,,,big,,'123,10000.0,shopify,deny,dropshipman,238.90,266.00,true,true,"",https://cdn.shopify.com/s/files/1/0559/0482/9504/products/H572d1b0f3b87473f8cefba2cf5cc0496N_501f5dfc-8c14-44a4-b71d-f66484b1f0a3.jpg?v=1710923729,8,"",,,,,,,,,,,,,,,,,,,kg,,119.45,
abconvert-3,,,,,,,,,LG brown,,,45to47inch,,,small,,51831964-lg-brown-45to47inch,0.0,shopify,deny,dropshipman,238.90,,true,true,,https://cdn.shopify.com/s/files/1/0559/0482/9504/products/Hea98b1fc244f43628b45d040cf692746K_85cf0a7e-a7b1-4993-81d3-c8edc6b9613a.jpg?v=1710923729,9,"",,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/0482/9504/products/H82f533f713c94149b4b52590b1a89dceK_cf24cd02-c880-4672-a675-464c80957160.jpg?v=1710923729,kg,,119.45,
